oci,timespan,citing,creation,author_sc,journal_sc,cited
0200100040636193701030605630208050037020000023700000409083733-02007030206360000000363040801096301010363010263090401,P11Y5M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.7326/0003-4819-113-12-941
02001010806362801020901026300010563000006096307-02001000001361910221037020001043704050703,P10M2D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1001/jama.2014.4573
02001010806362801020901026300010563000006096307-020010000023616252837060802,P13Y,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1002/gps.682
02001010806362801020901026300010563000006096307-020010000073611150003030204060807,P7Y9M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1007/bf03324687
02001010806362801020901026300010563000006096307-0200100010636193710291724271012283027370200000937000237000800,P5Y10M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.athoracsur.2009.02.080
02001010806362801020901026300010563000006096307-0200100010636193710291724271012283027370200010137000737000006,P3Y,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.athoracsur.2011.07.006
02001010806362801020901026300010563000006096307-020010001063619371419122330272814370200000537000337000009,P9Y3M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ejcnurse.2005.03.009
02001010806362801020901026300010563000006096307-020010001063619371419122330272814370200000537000437000006,P9Y6M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ejcnurse.2005.04.006
02001010806362801020901026300010563000006096307-020010001063619371419122330272814370200000637000937000003,P7Y6M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ejcnurse.2006.09.003
02001010806362801020901026300010563000006096307-02001000106361937161423172428252528341217370200010137000737000009,P3Y4M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.genhosppsych.2011.07.009
02001010806362801020901026300010563000006096307-020010001063619371819233027282930370200000837000237000001,P6Y4M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ijnurstu.2008.02.001
02001010806362801020901026300010563000006096307-020010001063619371819233027282930370200000937000937000009,P5Y2M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ijnurstu.2009.09.009
02001010806362801020901026300010563000006096307-020010001063619371819233027282930370200010337010137000005,P8M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ijnurstu.2013.11.005
02001010806362801020901026300010563000006096307-0200100010636193723141329370200000337010037000001,P11Y1M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.nedt.2003.10.001
02001010806362801020901026300010563000006096307-0200100010636280000020063070408095800025900000100096308,P11Y10M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/s0020-7489(02)00109-8
02001010806362801020901026300010563000006096307-0200100010636280009060463030309075809065908000909046303,P18Y11M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/s0964-3397(96)80994-3
02001010806362801020901026300010563000006096307-0200100010636280009060463030309075809095908000006026307,P16Y1M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/s0964-3397(99)80062-7
02001010806362801020901026300010563000006096307-0200100040636193701030605630206040837020000003700010602013733,P14Y3M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1046/j.1365-2648.2000.01621.x
02001010806362801020901026300010563000006096307-020010005063623141922010906050008000502070300060001,P49Y7M25D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1056/nejm196508052730601
02001010806362801020901026300010563000006096307-020010005063623141922010909090003000403040000090001,P16Y26D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1056/nejm199903043400901
02001010806362801020901026300010563000006096307-020010005063623141922241001010102090203,P2Y8M25D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1056/nejmoa1112923
02001010806362801020901026300010563000006096307-0200100050636231419222710000502030201,P9Y14D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1056/nejmra052321
02001010806362801020901026300010563000006096307-0200100090336141912292836143527000301,P4Y,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1093/ejcts/ezr031
02001010806362801020901026300010563000006096307-0200100090336181231292836183129030203,P1Y8M5D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1093/icvts/ivt323
02001010806362801020901026300010563000006096307-02001000907361012243700000000000000000000000000000601,P11M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1097/aco.0000000000000061
02001010806362801020901026300010563000006096307-02001000907362212123700110001031403020802150111140614,P7Y3M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1097/mcc.0b013e3282f1be6e
02001010806362801020901026300010563000006096307-020010101013610231014370102060308,P10M19D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/anae.12638
02001010806362801020901026300010563000006096307-0200101010136191628370103020801,P3M18D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/jgs.13281
02001010806362801020901026300010563000006096307-020010101013619241223370102040607,P1Y3M3D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/jocn.12467
02001010806362801020901026300010563000006096307-0200101010136193701030605630206040837020000073700040302043733,P7Y7M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/j.1365-2648.2007.04324.x
02001010806362801020901026300010563000006096307-0200101010136193701030605630206040837020001013700050709093733,P3Y7M19D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/j.1365-2648.2011.05799.x
02001010806362801020901026300010563000006096307-0200101010136193701030605630207000237020000053700010505003733,P8Y,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/j.1365-2702.2005.01550.x
02001010806362801020901026300010563000006096307-0200101010136193701030605630207000237020000063700010800063733,P7Y10M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/j.1365-2702.2006.01806.x
02001010806362801020901026300010563000006096307-0200101010136193701030605630207000237020001003700030402083733,P4Y5M19D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/j.1365-2702.2010.03428.x
02001010806362801020901026300010563000006096307-0200101010136193701030605630207000237020001023700040100023733,P1Y6M25D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/j.1365-2702.2012.04102.x
02001010806362801020901026300010563000006096307-0200101010136193701040708630501050337020001013700000405043733,P3Y8M11D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/j.1478-5153.2011.00454.x
02001010806362801020901026300010563000006096307-0200101010136193701050302630504010537020001003700020706023733,P5Y8D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1111/j.1532-5415.2010.02762.x
