oci,timespan,citing,creation,author_sc,journal_sc,cited
0200101010136193701030605630207000237020000063700010800063733-0200100010636280009060463030309075809095908000006026307,P8Y3M,10.1111/j.1365-2702.2006.01806.x,2007-05,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701030605630207000237020001003700030306003733-0200100010636280009060463030309075809095908000006026307,P11Y8M,10.1111/j.1365-2702.2010.03360.x,2010-10-28,no,no,10.1016/s0964-3397(99)80062-7
0200101010136193701030605630207000237020001013700030804093733-0200100010636280009060463030309075809095908000006026307,P12Y7M,10.1111/j.1365-2702.2011.03849.x,2011-09-21,no,no,10.1016/s0964-3397(99)80062-7
02001000107362801040708090501050009090900090604-0200100010636280009060463030309075809095908000006026307,P11Y1M,10.1017/s1478951509990964,2010-03-23,no,no,10.1016/s0964-3397(99)80062-7
02001000907362323103700110001031403010802070806000103-0200100010636280009060463030309075809095908000006026307,P13Y11M,10.1097/nna.0b013e3182786013,2013-01,no,no,10.1016/s0964-3397(99)80062-7
0200100090736000000040400060763020000030002000000630000000004-0200100010636280009060463030309075809095908000006026307,P4Y,10.1097/00044067-200302000-00004,2003-02,no,no,10.1016/s0964-3397(99)80062-7
02001000800360104000308010900050000020005080008-0200100010636280009060463030309075809095908000006026307,P5Y11M,10.1080/14038190500205808,2005-01,no,no,10.1016/s0964-3397(99)80062-7
02001010902361119253701080037013704-0200100010636280009060463030309075809095908000006026307,P2Y11M,10.1192/bjp.180.1.4,2002-01,no,no,10.1016/s0964-3397(99)80062-7
020010101013623181212370102000102-0200100010636280009060463030309075809095908000006026307,P14Y,10.1111/nicc.12012,2013-02-27,no,no,10.1016/s0964-3397(99)80062-7
020010101013623181212370102020204-0200100010636280009060463030309075809095908000006026307,P16Y9M,10.1111/nicc.12224,2015-11-09,no,no,10.1016/s0964-3397(99)80062-7
02001010806362801020901026300010563000006096307-0200100010636280009060463030309075809095908000006026307,P16Y1M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/s0964-3397(99)80062-7
020010209060836111924233702000005370104370103370108040502-0200100010636280009060463030309075809095908000006026307,P6Y5M,10.12968/bjon.2005.14.13.18452,2005-07,no,no,10.1016/s0964-3397(99)80062-7
020010003043619370103090963060507063702000002370406000601063733-0200100010636280009060463030309075809095908000006026307,P3Y5M,10.1034/j.1399-6576.2002.460616.x,2002-07,no,no,10.1016/s0964-3397(99)80062-7
02001000800360103050406080005370200010237060606010103-0200100010636280009060463030309075809095908000006026307,P13Y9M,10.1080/13546805.2012.666113,2012-11,no,no,10.1016/s0964-3397(99)80062-7
02001050900362800000407630200080502000009000000040000000002-0200100010636280009060463030309075809095908000006026307,P9Y,10.1590/s0047-20852009000400002,2009,no,no,10.1016/s0964-3397(99)80062-7
0200101010136281228370102010707-0200100010636280009060463030309075809095908000006026307,P15Y9M,10.1111/scs.12177,2014-11-07,no,no,10.1016/s0964-3397(99)80062-7
